field_key,field_label,category,pit_required,cadence,priority,notes
eps_estimate_cfy,Current fiscal year EPS estimate,consensus_level,yes,daily-weekly,required,mean consensus for the current fiscal year
eps_estimate_nfy,Next fiscal year EPS estimate,consensus_level,yes,daily-weekly,required,mean consensus for the next fiscal year
eps_estimate_quarter,Quarterly EPS estimate,consensus_level,yes,daily-weekly,required,current-quarter consensus; anchors post-earnings drift
revenue_estimate,Revenue estimate (if available),consensus_level,yes,daily-weekly,preferred,sales consensus; enables revisions on a second line item
num_analysts,Number of analysts,coverage,yes,daily-weekly,required,coverage count; normalizer for revision diffusion and dispersion
up_revisions_count,Upward revisions count,revision_flow,yes,daily-weekly,required,e.g. estimates raised in last 30d; core numerator of net-revisions
down_revisions_count,Downward revisions count,revision_flow,yes,daily-weekly,required,estimates cut in last 30d; core denominator of net-revisions
estimate_change_7d,7-day estimate change,revision_momentum,yes,daily,required,short-window consensus change
estimate_change_30d,30-day estimate change,revision_momentum,yes,daily,required,primary revision-momentum window
estimate_change_60d,60-day estimate change,revision_momentum,yes,daily,required,aligns with the 63d primary horizon
consensus_estimate_level,Consensus estimate level,consensus_level,yes,daily-weekly,required,mean estimate level; base for percentage revisions
estimate_dispersion,Estimate dispersion,uncertainty,yes,daily-weekly,preferred,stdev/coeff-of-variation of estimates; conditions signal strength
recommendation_changes,Recommendation changes (if available),rating_flow,yes,event,optional,up/downgrades; secondary confirming signal
price_target_changes,Price target changes (if available),target_flow,yes,event,optional,target revisions; secondary confirming signal
pit_effective_date,Point-in-time effective date,pit_key,yes,per-observation,required,THE as-of join key: available_date <= panel entry_date
revision_timestamp,Announcement / revision timestamp (if available),pit_key,yes,per-event,preferred,intraday timestamp; same-day treated as available next session
