data_family,current_status,local_files_found,free_no_key_sources_attempted,provider_keys_detected,providers_considered,best_provider,required_env_var,subscription_likely_required,approximate_cost_if_known_or_unknown,exact_endpoint_or_doc_reference_if_known,signals_unlocked,current_blocker_addressed,expected_event_count_gain,expected_validation_quality_gain,next_action,hard_decision
broad_earnings_surprise,FREE_NO_KEY_SOURCE_ATTEMPTED_BUT_INSUFFICIENT,Norgate-derived earnings cache (~75 tickers) via 8-G load_earnings_events,local cache only; no broad free no-key earnings-surprise history,none,FMP;AlphaVantage;EODHD,FMP,FMP_API_KEY,True,~22-29 (Starter),"financialmodelingprep.com/developer/docs : /earnings-surprises, /analyst-estimates, /earning_calendar, /press-releases, /transcript",earnings x context family; lifts F20>=1000 events,earnings feed covers only ~75 tickers,high (75 -> S&P 500/1500 names),high (clears the >=1000-event gate broadly),subscribe FMP Starter; backfill earnings surprises across S&P 1500; rebuild grid,SUBSCRIBE_PAID_PROVIDER
analyst_estimates_revisions,FREE_NO_KEY_SOURCE_ATTEMPTED_BUT_INSUFFICIENT,labelled surprise-acceleration revision PROXY only (capped < CONFIRMED),proxy derived from earnings cache; no true consensus revisions free,none,FMP;Finnhub;EODHD;Intrinio;Benzinga,FMP,FMP_API_KEY,True,~22-29 (Starter),"financialmodelingprep.com/developer/docs : /earnings-surprises, /analyst-estimates, /earning_calendar, /press-releases, /transcript",true revision x sensitivity (uncaps the proxy),"revision signal is a proxy, never CONFIRMED",high,"high (real, uncapped)",subscribe FMP/Finnhub analyst-estimates; replace proxy with consensus revisions,SUBSCRIBE_PAID_PROVIDER
historical_news_sentiment,FREE_NO_KEY_SOURCE_ATTEMPTED_BUT_INSUFFICIENT,none (no PIT news store on disk),GDELT connector probed (live HTTP 200) but only a recent window,none,GDELT;Benzinga;Finnhub;Tiingo;Polygon;AlphaVantage;NewsAPI;FMP,Benzinga,BENZINGA_API_KEY,True,enterprise (quote required),"docs.benzinga.io : /news, /calendar/earnings, /calendar/ratings",sentiment shock x sensitivity; macro-lead news confirmation,no deep PIT news/sentiment history,medium-high,medium,exhaust GDELT/Finnhub free window first; trial Benzinga for deep history,SUBSCRIBE_PAID_PROVIDER
earnings_call_transcripts_tone,PAID_PROVIDER_REQUIRED,none,none viable no-key,none,FMP;Finnhub,FMP,FMP_API_KEY,True,~22-29 (Starter),"financialmodelingprep.com/developer/docs : /earnings-surprises, /analyst-estimates, /earning_calendar, /press-releases, /transcript",management-tone x earnings-surprise confirmation,no transcript text/tone source,medium,medium,FMP transcripts (bundled with earnings sub) — defer until earnings feed proves out,SUBSCRIBE_PAID_PROVIDER
options_iv_skew_putcall_unusual_activity,PAID_PROVIDER_REQUIRED,none,none viable no-key for deep IV/skew,none,Intrinio;Polygon;AlphaVantage,Intrinio,INTRINIO_API_KEY,True,options packages (quote required),"docs.intrinio.com : /options/prices, /options/expirations (IV/Greeks)",IV-percentile / skew / put-call x sensitivity,no options IV/skew history,high (daily per name),medium,do NOT subscribe first — only after a candidate signal specifically needs IV/skew,SUBSCRIBE_PAID_PROVIDER
short_interest_borrow_utilization,FREE_NO_KEY_SOURCE_ATTEMPTED_BUT_INSUFFICIENT,none,FINRA reg-SHO daily reachable no-key (single settlement window),none,FINRA;Finnhub;Quandl,Finnhub,FINNHUB_API_KEY,True,~0 (free tier) / paid for history,"finnhub.io/docs/api : /stock/earnings, /company-news, /news-sentiment, /stock/transcripts, /stock/short-interest",short-interest increase / days-to-cover x liquidity/beta context,no deep biweekly short-interest / borrow / utilization history,medium,medium,build FINRA biweekly consolidated short-interest history (free) before any paid key,SUBSCRIBE_PAID_PROVIDER
insider_transactions,FREE_NO_KEY_SOURCE_ATTEMPTED_BUT_INSUFFICIENT,none,SEC EDGAR Form 4 reachable no-key (collector not yet built),none,SEC_EDGAR,SEC_EDGAR,(none),False,free,"data.sec.gov : /submissions, Form 4 (insider), 13F, 8-K/10-Q/10-K",insider-buy cluster x sensitivity,no insider-transaction event store,medium,medium,build a no-key SEC EDGAR Form 4 collector on D: (free) before any paid source,EXHAUST_FREE_THEN_DECIDE
institutional_ownership_13f,FREE_NO_KEY_SOURCE_ATTEMPTED_BUT_INSUFFICIENT,none,"SEC EDGAR 13F reachable no-key (quarterly, low frequency)",none,SEC_EDGAR,SEC_EDGAR,(none),False,free,"data.sec.gov : /submissions, Form 4 (insider), 13F, 8-K/10-Q/10-K",ownership-change x sensitivity (low-frequency overlay only),no 13F ownership store; quarterly cadence limits short-horizon drift use,low (quarterly),low,deprioritise — quarterly cadence is weak for 5-60d drift; revisit if breadth needed,EXHAUST_FREE_THEN_DECIDE
sec_filings_event_classification,FREE_NO_KEY_SOURCE_ACTIVATED,filing_event column live via 8-G/8-H no-key SEC EDGAR,SEC EDGAR submissions activated (no-key); 8-K/10-Q/10-K acceptance,none,SEC_EDGAR;FMP,SEC_EDGAR,(none),False,free,"data.sec.gov : /submissions, Form 4 (insider), 13F, 8-K/10-Q/10-K",filing x sensitivity family,filing events already mapped; finer 8-K item classification is optional,low (already active),low-medium (item-level classification),optionally add 8-K item-code classification on the existing no-key EDGAR feed,ACTIVATE_FREE_NO_KEY
guidance_press_releases,FREE_NO_KEY_SOURCE_ATTEMPTED_BUT_INSUFFICIENT,8-K press-release filings reachable via the no-key EDGAR feed (unclassified),SEC EDGAR 8-K Item 2.02 reachable no-key but guidance text unparsed,none,SEC_EDGAR;FMP;Benzinga,FMP,FMP_API_KEY,True,~22-29 (Starter),"financialmodelingprep.com/developer/docs : /earnings-surprises, /analyst-estimates, /earning_calendar, /press-releases, /transcript",guidance raise/cut x earnings/macro sensitivity,no structured guidance / press-release event store,medium,medium,FMP press-releases (bundled with earnings sub); classify guidance raise/cut,SUBSCRIBE_PAID_PROVIDER
company_fundamentals_valuation_quality_leverage,FREE_NO_KEY_SOURCE_ATTEMPTED_BUT_INSUFFICIENT,Norgate price-derived context (beta/vol); no fundamentals statements store,SimFin bulk / SEC EDGAR XBRL possible no-key (not yet built),none,SEC_EDGAR;SimFin;FMP;EODHD;Intrinio;Finnhub;AlphaVantage;Tiingo,FMP,FMP_API_KEY,False,~22-29 (Starter),"financialmodelingprep.com/developer/docs : /earnings-surprises, /analyst-estimates, /earning_calendar, /press-releases, /transcript",quality/leverage/valuation conditioning,no fundamentals statements for quality/leverage context,context (per-name overlay),medium,build a free SimFin/SEC-XBRL fundamentals overlay before any paid key,EXHAUST_FREE_THEN_DECIDE
sector_industry_context,LOCAL_DATA_FOUND,Norgate GICS / sector_rel_str_60 + cohort_sector_lead live in the grid,local Norgate (sufficient),none,(local only),(local/free),(none),False,free/local,local Norgate/FRED/SEC EDGAR,sector-leadership x macro driver family,none — fully local,n/a (active),n/a (active),none — continue mining the sector-context matrix,ACTIVATE_LOCAL
macro_cross_asset_context,LOCAL_DATA_FOUND,Norgate cross-asset + on-disk FRED -> drv_* shocks live in the grid,local Norgate/FRED (sufficient),none,(local only),(local/free),(none),False,free/local,local Norgate/FRED/SEC EDGAR,rates/oil/usd/credit/vix/commodity/market shock families,none — fully local,n/a (active),n/a (active),none — continue mining the existing macro-sensitivity matrix,ACTIVATE_LOCAL
liquidity_volume_volatility_positioning,LOCAL_DATA_FOUND,Norgate price/volume -> beta/vol cohorts + vol_compress live in the grid,local Norgate (sufficient),none,(local only),(local/free),(none),False,free/local,local Norgate/FRED/SEC EDGAR,beta/vol/liquidity conditioning + tail-risk repair filters,none — fully local,n/a (active),n/a (active),none — use as the structural tail/vol filter layer,ACTIVATE_LOCAL
