candidate_id,family,driver,cohort,signal_status,promotion,registry_decision,proposed_contribution,real_external_data,lift_vs_control,ev_after_25bps,worst_decile_mean,deployed,paper_trader_output,production,note
S8J-RATES-MACRO-20,G_macro_cross_asset_x_sensitivity,rates,cohort_rates_neg,PROMISING_SENSITIVITY_SETUP,PROMISING_EXTERNAL_SIGNAL,HOLD_PROMISING,"real external feature, gate gap remains",True,0.004035,0.001276,-0.157763,False,False,False,"positive but misses: portfolio_beats_spy_and_cash_active, worst_decile_not_catastrophic"
S8J-RATES-EARNCONF-20,F_s8e011_plus_external_confirmation,rates,cohort_rates_neg,REJECTED,PROMISING_EXTERNAL_SIGNAL,HOLD_PROMISING,"real external feature, gate gap remains",True,0.005328,0.003779,-0.155446,False,False,False,"insufficient events (total=692, recent=394)"
S8J-RATES-EARNPOS-20,C_earnings_surprise_x_sensitivity,earnings_surprise,cohort_rates_neg,REJECTED,REJECTED,REJECT,no contribution,True,-0.000356,0.001528,-0.153022,False,False,False,"insufficient events (total=870, recent=394)"
S8J-RATES-SECLEAD-20,F_s8e011_plus_external_confirmation,rates,cohort_sector_lead,REJECTED,REJECTED,REJECT,no contribution,True,0.000733,-0.001001,-0.202677,False,False,False,non-positive EV after 25bps (-0.001001)
S8J-OIL-POS-20,F_s8e011_plus_external_confirmation,oil,cohort_oil_pos,REJECTED,REJECTED,REJECT,no contribution,True,-0.001752,-0.009983,-0.165153,False,False,False,non-positive EV after 25bps (-0.009983)
S8J-OIL-SECLEAD-20,F_s8e011_plus_external_confirmation,oil,cohort_sector_lead,REJECTED,REJECTED,REJECT,no contribution,True,0.000142,-0.008383,-0.175076,False,False,False,non-positive EV after 25bps (-0.008383)
S8J-USD-NEG-20,F_s8e011_plus_external_confirmation,usd,cohort_usd_neg,REJECTED,REJECTED,REJECT,no contribution,True,-6.6e-05,-0.007944,-0.164245,False,False,False,non-positive EV after 25bps (-0.007944)
S8J-USD-SECLEAD-20,F_s8e011_plus_external_confirmation,usd,cohort_sector_lead,REJECTED,REJECTED,REJECT,no contribution,True,-0.00378,-0.008406,-0.193637,False,False,False,non-positive EV after 25bps (-0.008406)
S8G-A01,A_news_sentiment_x_sensitivity,news_sentiment,sentiment_sensitive,NEEDS_PROVIDER_DATA,NEEDS_PROVIDER_DATA,BLOCKED_ON_PROVIDER,pending external provider data,False,,,,False,False,False,no local data and no provider key; executable adapter + schema + command ready
S8G-D01,D_options_iv_x_sensitivity,options_iv,options_informative,NEEDS_PROVIDER_DATA,NEEDS_PROVIDER_DATA,BLOCKED_ON_PROVIDER,pending external provider data,False,,,,False,False,False,no local data and no provider key; executable adapter + schema + command ready
S8G-E01,E_short_interest_x_sensitivity,short_interest,squeeze_sensitive,NEEDS_PROVIDER_DATA,NEEDS_PROVIDER_DATA,BLOCKED_ON_PROVIDER,pending external provider data,False,,,,False,False,False,no local data and no provider key; executable adapter + schema + command ready
