experiment_id,cycle,category,owning_agent,family,is_challenge,is_non_momentum,score_key,quantile,gate_key,max_pos,scope,hypothesis,success_gate,stop_condition,registered_before_scoring,status_after_scoring
C1F01,1,CONFIRM,volatility-liquidity-agent,low_volatility,False,True,downside_vol,top_quintile,,0.1,full,Confirm 8-B lead downside_vol (top_quintile) on broad survivorship-aware universe,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,True,REJECTED
C1F02,1,CONFIRM,volatility-liquidity-agent,low_volatility,False,True,downside_vol,top_decile,,0.1,full,Confirm 8-B lead downside_vol (top_decile) on broad survivorship-aware universe,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,True,REJECTED
C1F03,1,CONFIRM,volatility-liquidity-agent,low_volatility,False,True,low_vol,top_quintile,,0.1,full,Confirm 8-B lead low_vol (top_quintile) on broad survivorship-aware universe,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,True,REJECTED
C1F04,1,CONFIRM,volatility-liquidity-agent,low_volatility,False,True,low_vol,top_decile,,0.1,full,Confirm 8-B lead low_vol (top_decile) on broad survivorship-aware universe,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,True,REJECTED
C1F05,1,CONFIRM,momentum-signal-agent,volatility_adjusted_momentum,False,False,vol_adj_mom,top_quintile,,0.1,full,Confirm 8-B lead vol_adj_mom (top_quintile) on broad survivorship-aware universe,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,True,REJECTED
C1F06,1,CONFIRM,momentum-signal-agent,volatility_adjusted_momentum,False,False,vol_adj_mom,top_decile,,0.1,full,Confirm 8-B lead vol_adj_mom (top_decile) on broad survivorship-aware universe,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,True,REJECTED
C1F07,1,SCAN,momentum-signal-agent,momentum,False,False,mom_12_1,top_quintile,,0.1,full,Scan family momentum via mom_12_1 (top_quintile) on broad universe,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,True,REJECTED
C1F08,1,SCAN,momentum-signal-agent,momentum,False,False,mom_6_1,top_quintile,,0.1,full,Scan family momentum via mom_6_1 (top_quintile) on broad universe,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,True,REJECTED
C1F09,1,NON_MOMENTUM,reversal-signal-agent,short_term_reversal,False,True,rev_losers,top_quintile,,0.1,full,Scan family short_term_reversal via rev_losers (top_quintile) on broad universe,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,True,REJECTED
C1F10,1,NON_MOMENTUM,trend-breadth-signal-agent,trend_breadth,False,True,trend_score,top_quintile,,0.1,full,Scan family trend_breadth via trend_score (top_quintile) on broad universe,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,True,REJECTED
C1F11,1,NON_MOMENTUM,trend-breadth-signal-agent,trend_breadth,False,True,trend_ma12,top_quintile,,0.1,full,Scan family trend_breadth via trend_ma12 (top_quintile) on broad universe,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,True,REJECTED
C1F12,1,NON_MOMENTUM,volatility-liquidity-agent,liquidity_turnover,False,True,illiquidity,top_quintile,,0.1,full,Scan family liquidity_turnover via illiquidity (top_quintile) on broad universe,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,True,REJECTED
C1F13,1,NON_MOMENTUM,volatility-liquidity-agent,liquidity_turnover,False,True,high_liquidity,top_quintile,,0.1,full,Scan family liquidity_turnover via high_liquidity (top_quintile) on broad universe,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,True,REJECTED
C1F14,1,NON_MOMENTUM,trend-breadth-signal-agent,sector_relative,False,True,sector_rel_mom,top_quintile,,0.1,full,Scan family sector_relative via sector_rel_mom (top_quintile) on broad universe,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,True,REJECTED
C1F15,1,NON_MOMENTUM,trend-breadth-signal-agent,market_relative,False,True,rel_strength,top_quintile,,0.1,full,Scan family market_relative via rel_strength (top_quintile) on broad universe,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,True,REJECTED
C1X_downside_vol.H1990,1,CHALLENGE,validation-skeptic-agent,low_volatility,True,True,downside_vol,top_quintile,,0.1,holdout:1990-2004,DISPROVE: does downside_vol top_quintile beat SPY in 1990-2004?,net Sharpe in 1990-2004 > SPY,report regardless,True,DIAGNOSTIC_ONLY
C1X_downside_vol.H2005,1,CHALLENGE,validation-skeptic-agent,low_volatility,True,True,downside_vol,top_quintile,,0.1,holdout:2005-2014,DISPROVE: does downside_vol top_quintile beat SPY in 2005-2014?,net Sharpe in 2005-2014 > SPY,report regardless,True,DIAGNOSTIC_ONLY
C1X_downside_vol.H2015,1,CHALLENGE,validation-skeptic-agent,low_volatility,True,True,downside_vol,top_quintile,,0.1,holdout:2015-2026,DISPROVE: does downside_vol top_quintile beat SPY in 2015-2026?,net Sharpe in 2015-2026 > SPY,report regardless,True,DIAGNOSTIC_ONLY
C1X_downside_vol.C50,1,CHALLENGE,validation-skeptic-agent,low_volatility,True,True,downside_vol,top_quintile,,0.1,cost@50bps,DISPROVE: is downside_vol top_quintile still net-positive at 50bps?,net Sharpe@50bps > 0,report regardless,True,DIAGNOSTIC_ONLY
C1X_downside_vol.C100,1,CHALLENGE,validation-skeptic-agent,low_volatility,True,True,downside_vol,top_quintile,,0.1,cost@100bps,DISPROVE: is downside_vol top_quintile still net-positive at 100bps?,net Sharpe@100bps > 0,report regardless,True,DIAGNOSTIC_ONLY
C1X_low_vol.H1990,1,CHALLENGE,validation-skeptic-agent,low_volatility,True,True,low_vol,top_quintile,,0.1,holdout:1990-2004,DISPROVE: does low_vol top_quintile beat SPY in 1990-2004?,net Sharpe in 1990-2004 > SPY,report regardless,True,DIAGNOSTIC_ONLY
C1X_low_vol.H2005,1,CHALLENGE,validation-skeptic-agent,low_volatility,True,True,low_vol,top_quintile,,0.1,holdout:2005-2014,DISPROVE: does low_vol top_quintile beat SPY in 2005-2014?,net Sharpe in 2005-2014 > SPY,report regardless,True,DIAGNOSTIC_ONLY
C1X_low_vol.H2015,1,CHALLENGE,validation-skeptic-agent,low_volatility,True,True,low_vol,top_quintile,,0.1,holdout:2015-2026,DISPROVE: does low_vol top_quintile beat SPY in 2015-2026?,net Sharpe in 2015-2026 > SPY,report regardless,True,DIAGNOSTIC_ONLY
C1X_low_vol.C50,1,CHALLENGE,validation-skeptic-agent,low_volatility,True,True,low_vol,top_quintile,,0.1,cost@50bps,DISPROVE: is low_vol top_quintile still net-positive at 50bps?,net Sharpe@50bps > 0,report regardless,True,DIAGNOSTIC_ONLY
C1X_low_vol.C100,1,CHALLENGE,validation-skeptic-agent,low_volatility,True,True,low_vol,top_quintile,,0.1,cost@100bps,DISPROVE: is low_vol top_quintile still net-positive at 100bps?,net Sharpe@100bps > 0,report regardless,True,DIAGNOSTIC_ONLY
C1X_vol_adj_mom.H1990,1,CHALLENGE,validation-skeptic-agent,volatility_adjusted_momentum,True,False,vol_adj_mom,top_quintile,,0.1,holdout:1990-2004,DISPROVE: does vol_adj_mom top_quintile beat SPY in 1990-2004?,net Sharpe in 1990-2004 > SPY,report regardless,True,DIAGNOSTIC_ONLY
C1X_vol_adj_mom.H2005,1,CHALLENGE,validation-skeptic-agent,volatility_adjusted_momentum,True,False,vol_adj_mom,top_quintile,,0.1,holdout:2005-2014,DISPROVE: does vol_adj_mom top_quintile beat SPY in 2005-2014?,net Sharpe in 2005-2014 > SPY,report regardless,True,DIAGNOSTIC_ONLY
C1X_vol_adj_mom.H2015,1,CHALLENGE,validation-skeptic-agent,volatility_adjusted_momentum,True,False,vol_adj_mom,top_quintile,,0.1,holdout:2015-2026,DISPROVE: does vol_adj_mom top_quintile beat SPY in 2015-2026?,net Sharpe in 2015-2026 > SPY,report regardless,True,DIAGNOSTIC_ONLY
C1X_vol_adj_mom.C50,1,CHALLENGE,validation-skeptic-agent,volatility_adjusted_momentum,True,False,vol_adj_mom,top_quintile,,0.1,cost@50bps,DISPROVE: is vol_adj_mom top_quintile still net-positive at 50bps?,net Sharpe@50bps > 0,report regardless,True,DIAGNOSTIC_ONLY
C1X_vol_adj_mom.C100,1,CHALLENGE,validation-skeptic-agent,volatility_adjusted_momentum,True,False,vol_adj_mom,top_quintile,,0.1,cost@100bps,DISPROVE: is vol_adj_mom top_quintile still net-positive at 100bps?,net Sharpe@100bps > 0,report regardless,True,DIAGNOSTIC_ONLY
