variant_id,group,basis,classification,ic_t_63d,quarterly_net_25bps,quarterly_net_50bps,quarterly_turnover,oos_frac_windows_positive,top_sector_share,reject_reason,description
w_50_50_equal,weighting,backtested_sn,PASS_STRICT,2.665,0.00401,0.00095,0.6115,0.5,0.6262,confirmed baseline configuration,50/50 equal weight on within-month z legs (== Phase 10-D baseline composite_sn)
w_60_40,weighting,cross_section_only,INSUFFICIENT_INPUTS,,,,,,,"cannot re-backtest arbitrary leg weighting: frozen outputs lack the historical per-(month,ticker) scored panel with forward 63d returns; only a single approximate cross-section is available.",60% fcf_to_assets / 40% operating_accruals
w_40_60,weighting,cross_section_only,INSUFFICIENT_INPUTS,,,,,,,"cannot re-backtest arbitrary leg weighting: frozen outputs lack the historical per-(month,ticker) scored panel with forward 63d returns; only a single approximate cross-section is available.",40% fcf_to_assets / 60% operating_accruals
w_70_30,weighting,cross_section_only,INSUFFICIENT_INPUTS,,,,,,,"cannot re-backtest arbitrary leg weighting: frozen outputs lack the historical per-(month,ticker) scored panel with forward 63d returns; only a single approximate cross-section is available.",70% fcf_to_assets / 30% operating_accruals
w_30_70,weighting,cross_section_only,INSUFFICIENT_INPUTS,,,,,,,"cannot re-backtest arbitrary leg weighting: frozen outputs lack the historical per-(month,ticker) scored panel with forward 63d returns; only a single approximate cross-section is available.",30% fcf_to_assets / 70% operating_accruals
w_fcf_only_100_0,weighting,backtested_raw_diagnostic,REJECT_UNSTABLE,2.535,0.00542,0.00309,0.4661,0.375,0.4995,OOS frac-positive 0.375 < min_oos_window_frac gate 0.6,fcf_to_assets only (100/0) -- long-leg standalone
w_accruals_only_0_100,weighting,backtested_raw_diagnostic,REJECT_CONCENTRATION,3.075,0.0053,0.00222,0.6158,0.688,0.6316,top-sector share 0.6316 > max_sector_share gate 0.6,operating_accruals only (0/100) -- short-leg standalone
zcap_abs_3_0,robustness_transform,cross_section_only,INSUFFICIENT_INPUTS,,,,,,,"tail-capping / winsorizing only changes returns if applied across the full history; the frozen outputs expose only the latest cross-section, so the return effect cannot be measured.",z-score cap at |z|=3.0
zcap_abs_2_5,robustness_transform,cross_section_only,INSUFFICIENT_INPUTS,,,,,,,"tail-capping / winsorizing only changes returns if applied across the full history; the frozen outputs expose only the latest cross-section, so the return effect cannot be measured.",z-score cap at |z|=2.5
winsorize_score,robustness_transform,cross_section_only,INSUFFICIENT_INPUTS,,,,,,,"tail-capping / winsorizing only changes returns if applied across the full history; the frozen outputs expose only the latest cross-section, so the return effect cannot be measured.",winsorize composite score (tail compression)
liq_p25_cap25_extreme3,packaging,backtested_sn,PASS_STRICT,2.665,0.00401,0.00095,0.6115,0.5,0.6262,baseline packaging (the confirmed 10-H rule set),liquidity p25 + 25%/side sector cap + hold out |z|>=3 (== Phase 10-H rules)
liq_p50_stricter,packaging,cross_section_only,INSUFFICIENT_INPUTS,,,,,,,"book reshape is computable, but the net-of-cost alpha effect cannot be shown from a single cross-section.",stricter liquidity p50 filter (else baseline rules)
sector_cap_20_stricter,packaging,cross_section_only,INSUFFICIENT_INPUTS,,,,,,,"book reshape is computable, but the net-of-cost alpha effect cannot be shown from a single cross-section.",stricter 20%/side sector cap (else baseline rules)
