hypothesis_id,family,owning_agent,owning_role,driver,cohort,horizon,is_challenge,placebo,status,cycle_assigned,hypothesis
S8J-RATES-MACRO-20,G_macro_cross_asset_x_sensitivity,sensitivity-signal-agent,macro-sensitivity-agent,rates,cohort_rates_neg,20,False,False,TESTED,1,"Rates sell-off x rate-sensitive (short-duration) cohort with positive trend drifts up 20d — the full-coverage macro base lead (S8E-011), no earnings confirmation."
S8J-RATES-EARNCONF-20,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,macro-sensitivity-agent,rates,cohort_rates_neg,20,False,False,TESTED,1,"Rates sell-off x short-duration cohort CONFIRMED by a recent positive surprise, 20d."
S8J-CH-EARN-NOCOHORT-20,C_earnings_surprise_x_sensitivity,validation-skeptic-agent,earnings-catalyst-agent,earnings_surprise,,20,True,True,TESTED,1,"CHALLENGE/placebo: positive surprise, NO cohort — isolates the cohort contribution."
S8J-RATES-EARNPOS-20,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings-catalyst-agent,earnings_surprise,cohort_rates_neg,20,False,False,TESTED,1,Positive EPS surprise in a rates-sensitive name drifts up 20d (catalyst x rate beta).
S8J-RATES-SECLEAD-20,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,macro-sensitivity-agent,rates,cohort_sector_lead,20,False,False,TESTED,1,Rates sell-off x rate-sensitive sector-leading name drifts up 20d (macro x leadership).
S8J-CH-EARN-NEG-20,C_earnings_surprise_x_sensitivity,validation-skeptic-agent,earnings-catalyst-agent,earnings_surprise,cohort_surprise_sensitive,20,True,False,TESTED,1,"CHALLENGE: NEGATIVE surprise + surprise-sensitive cohort — wrong sign, must not drift up."
S8J-OIL-POS-20,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,macro-sensitivity-agent,oil,cohort_oil_pos,20,False,False,TESTED,1,Oil rally shock in an oil-positive name drifts up 20d (energy beta).
S8J-OIL-SECLEAD-20,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,macro-sensitivity-agent,oil,cohort_sector_lead,20,False,False,TESTED,1,Oil rally x oil-positive sector-leading name drifts up 20d (energy x leadership).
S8J-CH-EARN-SECLEAD-NEG-20,C_earnings_surprise_x_sensitivity,validation-skeptic-agent,earnings-catalyst-agent,earnings_surprise,cohort_sector_lead,20,True,False,TESTED,1,"CHALLENGE: NEGATIVE surprise in a sector leader — wrong sign, must not drift up."
S8J-USD-NEG-20,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,macro-sensitivity-agent,usd,cohort_usd_neg,20,False,False,TESTED,1,USD sell-off in a USD-negative (international-exposed) name drifts up 20d.
S8J-USD-SECLEAD-20,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,macro-sensitivity-agent,usd,cohort_sector_lead,20,False,False,TESTED,1,USD sell-off x USD-negative sector-leading name drifts up 20d.
S8J-CH-RATES-NOCOHORT-20,F_s8e011_plus_external_confirmation,validation-skeptic-agent,macro-sensitivity-agent,rates,,20,True,True,TESTED,1,"CHALLENGE/placebo: rates sell-off + earnings confirm, NO rate cohort — isolates cohort."
S8J-CREDIT-20,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,macro-sensitivity-agent,credit,cohort_credit_sens,20,False,False,QUEUED,,Credit-spread move in a credit-sensitive name drifts over 20d (credit beta).
S8J-CREDIT-DEF-20,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,macro-sensitivity-agent,credit,cohort_low_beta,20,False,False,QUEUED,,Credit move x credit-sensitive low-beta (defensive) name drifts over 20d.
S8J-CH-OIL-WRONGCOH-20,F_s8e011_plus_external_confirmation,validation-skeptic-agent,macro-sensitivity-agent,oil,cohort_oil_neg,20,True,False,QUEUED,,"CHALLENGE: oil rally in an oil-NEGATIVE name — wrong cohort, must not drift up."
S8J-VIX-VOLSENS-20,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,macro-sensitivity-agent,vix,cohort_vol_spike_sens,20,False,False,QUEUED,,VIX spike in a volatility-sensitive name drifts over 20d (downside-sensitivity test).
