provider,is_free,has_free_trial,env_var,trial_plan,validate_during_trial,families,endpoints_or_docs
FMP,False,True,FMP_API_KEY,register for the free key/trial; backfill a 1-2yr sample,history depth + coverage breadth vs the >=1000-event gate,broad_earnings_surprise;analyst_estimates_revisions;earnings_call_transcripts_tone;historical_news_sentiment;guidance_press_releases;company_fundamentals_valuation_quality_leverage;sec_filings_event_classification,"financialmodelingprep.com/developer/docs : /earnings-surprises, /analyst-estimates, /earning_calendar, /press-releases, /transcript"
Finnhub,False,True,FINNHUB_API_KEY,register for the free key/trial; backfill a 1-2yr sample,history depth + coverage breadth vs the >=1000-event gate,analyst_estimates_revisions;historical_news_sentiment;earnings_call_transcripts_tone;company_fundamentals_valuation_quality_leverage;short_interest_borrow_utilization,"finnhub.io/docs/api : /stock/earnings, /company-news, /news-sentiment, /stock/transcripts, /stock/short-interest"
AlphaVantage,False,True,ALPHAVANTAGE_API_KEY,register for the free key/trial; backfill a 1-2yr sample,history depth + coverage breadth vs the >=1000-event gate,broad_earnings_surprise;company_fundamentals_valuation_quality_leverage;historical_news_sentiment;options_iv_skew_putcall_unusual_activity,"alphavantage.co/documentation : EARNINGS, NEWS_SENTIMENT, HISTORICAL_OPTIONS"
EODHD,False,True,EODHD_API_KEY,register for the free key/trial; backfill a 1-2yr sample,history depth + coverage breadth vs the >=1000-event gate,broad_earnings_surprise;analyst_estimates_revisions;company_fundamentals_valuation_quality_leverage,"eodhd.com/financial-apis : /calendar/earnings, /fundamentals"
Benzinga,False,True,BENZINGA_API_KEY,register for the free key/trial; backfill a 1-2yr sample,history depth + coverage breadth vs the >=1000-event gate,historical_news_sentiment;analyst_estimates_revisions;guidance_press_releases,"docs.benzinga.io : /news, /calendar/earnings, /calendar/ratings"
Intrinio,False,True,INTRINIO_API_KEY,register for the free key/trial; backfill a 1-2yr sample,history depth + coverage breadth vs the >=1000-event gate,options_iv_skew_putcall_unusual_activity;analyst_estimates_revisions;company_fundamentals_valuation_quality_leverage,"docs.intrinio.com : /options/prices, /options/expirations (IV/Greeks)"
Polygon,False,True,POLYGON_API_KEY,register for the free key/trial; backfill a 1-2yr sample,history depth + coverage breadth vs the >=1000-event gate,options_iv_skew_putcall_unusual_activity;historical_news_sentiment,"polygon.io/docs : /v3/snapshot/options, /v2/reference/news"
Tiingo,False,True,TIINGO_API_KEY,register for the free key/trial; backfill a 1-2yr sample,history depth + coverage breadth vs the >=1000-event gate,historical_news_sentiment;company_fundamentals_valuation_quality_leverage,"tiingo.com/documentation : /tiingo/news, /tiingo/fundamentals"
Quandl,False,True,QUANDL_API_KEY,register for the free key/trial; backfill a 1-2yr sample,history depth + coverage breadth vs the >=1000-event gate,short_interest_borrow_utilization,data.nasdaq.com (Nasdaq Data Link) : short-interest datasets
NewsAPI,False,True,NEWSAPI_KEY,register for the free key/trial; backfill a 1-2yr sample,history depth + coverage breadth vs the >=1000-event gate,historical_news_sentiment,newsapi.org/docs : /v2/everything (recent window only)
FINRA,True,False,(none),use the free/no-key endpoint directly,history depth + coverage breadth vs the >=1000-event gate,short_interest_borrow_utilization,cdn.finra.org/equity/regsho (daily) ; finra.org consolidated short interest (biweekly)
GDELT,True,False,(none),use the free/no-key endpoint directly,history depth + coverage breadth vs the >=1000-event gate,historical_news_sentiment,"api.gdeltproject.org/api/v2/doc/doc (recent window, entity-level)"
SEC_EDGAR,True,False,(none),use the free/no-key endpoint directly,history depth + coverage breadth vs the >=1000-event gate,sec_filings_event_classification;insider_transactions;institutional_ownership_13f;guidance_press_releases;company_fundamentals_valuation_quality_leverage,"data.sec.gov : /submissions, Form 4 (insider), 13F, 8-K/10-Q/10-K"
SimFin,True,False,(none),use the free/no-key endpoint directly,history depth + coverage breadth vs the >=1000-event gate,company_fundamentals_valuation_quality_leverage,simfin.com (bulk fundamentals; local CSV)
