setup_id,cycle,family,owning_agent,is_challenge,placebo,needs_provider,driver,cohort,primary_horizon,conditions,hypothesis,challenges,provider_note,status,reason,registered_before_scoring
S8E-001,1,macro_shock_x_sensitivity,macro-cross-asset-agent,False,False,False,oil,cohort_oil_pos,20,drv_oil_shock_z ge 1.0; cohort_oil_pos ge 1.0; ret_5 gt 0.0,"When crude shocks UP, oil-positive-sensitive names that confirm continue over 20d.",,,REJECTED,non-positive EV after 25bps (-0.01145),True
S8E-002,1,macro_shock_x_sensitivity,macro-cross-asset-agent,False,False,False,oil,cohort_oil_neg,20,drv_oil_shock_z le -1.0; cohort_oil_neg ge 1.0; rel_str_60 gt 0.0,"When crude shocks DOWN, oil-negative-sensitive names (input-cost relief) outperform over 20d.",,,REJECTED,non-positive EV after 25bps (-0.011135),True
S8E-010,1,macro_shock_x_sensitivity,macro-cross-asset-agent,False,False,False,rates,cohort_rates_pos,20,drv_rates_shock_z ge 1.0; cohort_rates_pos ge 1.0; above_ma50 ge 1.0,"When bonds rally (yields fall), long-duration-sensitive names in uptrends outperform over 20d.",,,REJECTED,non-positive EV after 25bps (-0.00899),True
S8E-011,1,macro_shock_x_sensitivity,macro-cross-asset-agent,False,False,False,rates,cohort_rates_neg,20,drv_rates_shock_z le -1.0; cohort_rates_neg ge 1.0; rel_str_60 gt 0.0,"When bonds sell off (yields rise), short-duration-sensitive names outperform over 20d.",,,PROMISING_SENSITIVITY_SETUP,"positive but misses: portfolio_beats_spy_and_cash_active, worst_decile_not_catastrophic",True
S8E-020,1,macro_shock_x_sensitivity,macro-cross-asset-agent,False,False,False,credit,cohort_low_beta,10,drv_credit_shock_z le -1.0; cohort_low_beta ge 1.0; above_ma200 ge 1.0,"Under credit stress, low-beta defensives above their 200d MA outperform over 10d.",,,REJECTED,non-positive EV after 25bps (-0.004339),True
S8E-030,1,macro_shock_x_sensitivity,macro-cross-asset-agent,False,False,False,vix,cohort_low_beta,10,drv_vix_spike_z ge 1.0; cohort_low_beta ge 1.0; above_ma200 ge 1.0,"On a volatility spike, low-beta defensives in uptrends outperform over 10d.",,,REJECTED,non-positive EV after 25bps (-0.003565),True
S8E-031,1,macro_shock_x_sensitivity,macro-cross-asset-agent,False,False,False,vix,cohort_vol_spike_sens,20,drv_vix_spike_z ge 1.0; cohort_vol_spike_sens ge 1.0; ret_5 le 0.0,Volatility-spike-sensitive names that just sold off rebound over 20d once vol spikes.,,,REJECTED,non-positive EV after 25bps (-0.00875),True
S8E-040,1,macro_shock_x_sensitivity,macro-cross-asset-agent,False,False,False,market,cohort_high_beta,10,drv_market_shock_z le -1.0; cohort_high_beta ge 1.0; pct_ret_5 le 0.2,"After a market down-shock, oversold high-beta names rebound over 10d.",,,REJECTED,non-positive EV after 25bps (-0.00308),True
S8E-050,1,macro_shock_x_sensitivity,macro-cross-asset-agent,False,False,False,usd,cohort_usd_pos,20,drv_usd_shock_z ge 1.0; cohort_usd_pos ge 1.0; rel_str_60 gt 0.0,"When the dollar shocks up, dollar-positive-sensitive names with rel strength continue over 20d.",,,REJECTED,non-positive EV after 25bps (-0.006095),True
S8E-051,1,macro_shock_x_sensitivity,macro-cross-asset-agent,False,False,False,usd,cohort_usd_neg,20,drv_usd_shock_z le -1.0; cohort_usd_neg ge 1.0; rel_str_60 gt 0.0,"When the dollar shocks down, dollar-negative-sensitive exporters outperform over 20d.",,,REJECTED,non-positive EV after 25bps (-0.012052),True
