check,value,passed,detail
api_key_read_from_env_only,FMP_API_KEY,True,key is read solely from the FMP_API_KEY environment variable
api_key_present_in_env,True,,informational: whether a key is currently set (not a pass/fail)
api_key_logged,False,True,the key is never printed to stdout/stderr or written to any artifact
api_key_written_to_disk,False,True,the key value is never persisted to any file
urls_redacted_in_committed_artifacts,True,True,every committed URL strips the key query parameter (placeholder token only)
raw_paid_data_gitignored,research/data/fmp/raw,True,verbatim FMP payloads live only under the gitignored raw tree
normalized_paid_data_gitignored,research/data/fmp/normalized,True,normalized point-in-time CSVs live only under the gitignored normalized tree
no_raw_payload_in_committed_artifacts,True,True,committed artifacts carry only coverage metadata (counts/dates/field names)
no_key_in_output_files,True,True,scanned 28 artifact(s); no raw key value and no key query marker found
live_requires_explicit_flag_and_key,True,True,a network call needs both --live and a present FMP_API_KEY
skip_existing_protects_paid_cache,True,True,existing raw files are reused read-only and never overwritten
