mandatory_family,status,signal_unlocked,is_provider_required
broad_earnings_surprise,ACCESS_VERIFIED,earnings_surprise x rates_sensitivity,False
broad_earnings_surprise,ACCESS_VERIFIED,earnings_surprise x sector_leadership,False
earnings_calendar,ACCESS_VERIFIED,earnings_event_confirmation x rates_sensitivity,False
earnings_calendar,ACCESS_VERIFIED,earnings_drift x sector_leadership,False
analyst_estimates,ACCESS_VERIFIED,analyst_revision x sensitivity,False
analyst_recommendations,ACCESS_VERIFIED,analyst_recommendation_change x sector_leadership,False
analyst_price_targets,ACCESS_VERIFIED,price_target_revision x sensitivity_cohort,False
ratings_or_grades,ACCESS_VERIFIED,grade_change x sector_leadership,False
key_metrics,SUBSCRIPTION_ENTITLEMENT_BLOCK,valuation_quality_cohort_support,True
ratios,SUBSCRIPTION_ENTITLEMENT_BLOCK,leverage_quality_cohort_support,True
fundamentals_statements,ACCESS_VERIFIED,value_quality_growth_cohort_support,False
company_profile,ACCESS_VERIFIED,sector_mapping_support,False
transcripts_or_guidance,NOT_TESTED_NO_MAPPING,transcript_tone x earnings/macro_sensitivity,True
news_or_press_releases,FREE_SOURCE_AVAILABLE,news_sentiment x sensitivity,False
insider_transactions,FREE_SOURCE_AVAILABLE,insider x event_confirmation,False
institutional_ownership_13f,FREE_SOURCE_AVAILABLE,institutional_13f x event_confirmation,False
options_iv_skew_putcall,NOT_AVAILABLE_IN_CURRENT_PROVIDER,options_iv_skew x downside/volatility_sensitivity,True
short_interest_borrow,FREE_SOURCE_AVAILABLE,short_interest x liquidity/volatility/earnings_confirmation,False
sec_filings_event_classification,FREE_SOURCE_AVAILABLE,filing_event x earnings_confirmation,False
macro_cross_asset_context,LOCAL_DATA_ALREADY_AVAILABLE,macro_regime_context (conditioning),False
sector_industry_context,LOCAL_DATA_ALREADY_AVAILABLE,sector_leadership (conditioning),False
liquidity_volume_volatility_positioning,LOCAL_DATA_ALREADY_AVAILABLE,liquidity/volatility_gates (conditioning),False
