endpoint_name,alpha_family,purpose,endpoint_path_template,requires_ticker,expected_join_key,expected_date_key,point_in_time_notes,leakage_risk,phase5e1_priority,trial_safe,endpoint_status,smoke_safe,smoke_priority
company_profile,universe_mapping,Sector/industry/identity + listing metadata for ticker->sector mapping.,/stable/profile?symbol={symbol},True,symbol,,Current-as-of snapshot (no history) - NOT point-in-time membership; use only for caveated static sector mapping.,high,4,True,stable_confirmed,True,1
income_statement_quarterly,fundamentals,"Quarterly income statement (revenue, margins, EPS) for value/quality/growth.",/stable/income-statement?symbol={symbol}&period=quarter,True,symbol,fillingDate,"Use fillingDate/acceptedDate (filing availability), NEVER the fiscal period 'date'; as-of join latest filing on/before scoring date.",low,1,True,stable_confirmed,True,2
balance_sheet_statement_quarterly,fundamentals,"Quarterly balance sheet (assets, debt, equity) for leverage/quality.",/stable/balance-sheet-statement?symbol={symbol}&period=quarter,True,symbol,fillingDate,"Use fillingDate/acceptedDate (filing availability), never fiscal period 'date'; as-of join.",low,1,True,stable_confirmed,False,5
cash_flow_statement_quarterly,fundamentals,"Quarterly cash-flow (FCF, capex, accruals proxy) for quality.",/stable/cash-flow-statement?symbol={symbol}&period=quarter,True,symbol,fillingDate,Use fillingDate/acceptedDate; never fiscal period 'date'; as-of join.,low,2,True,stable_confirmed,False,6
key_metrics_quarterly,fundamentals,"Derived per-share/valuation metrics (PE, PB, ROIC, FCF yield).",/stable/key-metrics?symbol={symbol}&period=quarter,True,symbol,date,Period 'date' only (no filing date on this endpoint) - must be lagged to the corresponding statement filing availability before joining.,medium,2,True,stable_confirmed,True,4
ratios_quarterly,fundamentals,"Quarterly financial ratios (margins, turnover, liquidity, leverage).",/stable/ratios?symbol={symbol}&period=quarter,True,symbol,date,Period 'date' only - lag to the statement filing availability before joining (same caveat as key_metrics).,medium,2,True,stable_confirmed,True,3
earnings_calendar,earnings,Per-ticker historical earnings dates + estimate/actual EPS & revenue.,/stable/earnings?symbol={symbol},True,symbol,date,Announcement 'date' is the availability date; as-of join the latest announced event on/before the scoring date. STABLE ENDPOINT NAME (/stable/earnings) not yet confirmed live on this plan.,low,3,True,needs_live_verification,False,90
earnings_surprises,earnings,Actual vs estimate EPS surprises per reporting date.,/stable/earnings?symbol={symbol},True,symbol,date,Reporting 'date' is availability; as-of join; flag restatements. In the stable API surprises appear to be folded into /stable/earnings (actual vs estimated EPS) - endpoint shape NOT yet confirmed live.,low,3,True,needs_live_verification,False,91
analyst_estimates,analyst_revisions,Forward consensus estimates (revenue/EPS) - basis for revision breadth.,/stable/analyst-estimates?symbol={symbol}&period=annual,True,symbol,date,Snapshot consensus per 'date'; true revision PIT needs successive snapshots (capture publication date; do not back-date a current consensus onto past scoring dates). STABLE NAME/period not yet confirmed live.,medium,5,True,needs_live_verification,False,92
analyst_recommendations,analyst_revisions,Analyst buy/hold/sell consensus grades over time.,/stable/grades?symbol={symbol},True,symbol,date,Each grade carries its 'date'; as-of join the latest grade on/before the scoring date. Stable equivalent (/stable/grades or /stable/grades-consensus) NOT yet confirmed live.,low,5,True,needs_live_verification,False,93
analyst_price_targets,analyst_revisions,Analyst price-target changes (target vs price; revision direction).,/stable/price-target-summary?symbol={symbol},True,symbol,publishedDate,publishedDate is the availability timestamp; as-of join; never back-date a later target onto an earlier scoring date. Stable equivalent (/stable/price-target-summary or -news) NOT yet confirmed live.,low,5,True,needs_live_verification,False,94
sp500_constituents,universe_mapping,"Current S&P 500 membership (and, via historical endpoint, add/drop history).",/stable/sp500-constituent,False,symbol,dateFirstAdded,Current list is NOT point-in-time; the companion historical constituents endpoint (add/drop dates) is what removes survivorship - collect that to build PIT membership.,high,4,True,stable_confirmed,False,7
