gate_name,status,metric,value,threshold,note
no_lookahead_gate,PASS,forward_label_violations,0,0,every label resolves strictly after its scoring month
placebo_collapses_gate,PASS,within_period_label_shuffle_ic_collapses,True,true,shuffled-label composite IC must collapse toward zero
composite_built_gate,PASS,upgraded_composite_mean_rank_ic_computed,True,true,4 approved alpha buckets equal-weighted
min_buckets_gate,PASS,approved_bucket_count,4,>= 2,need at least two approved alpha buckets for a multi-factor composite
subfactor_breadth_gate,PASS,approved_alpha_subfactors,17,>= 4 (informational),breadth of approved sub-factors feeding the buckets
improvement_gate,PASS,upgraded_minus_old_baseline_mean_rank_ic,0.025122,>= 0.005,upgraded composite must beat the same-universe Phase 7-C composite by the success gate
nonnegative_ic_gate,PASS,upgraded_composite_mean_rank_ic,0.017726,>= 0,upgraded composite must have non-negative full-sample mean rank IC
ic_significance_gate,WARNING,upgraded_composite_ic_t_stat,1.245017,|t| >= 2,informational: cross-sectional IC significance
low_vol_excluded_from_alpha_gate,PASS,low_volatility_role,risk_descriptor,risk_descriptor,"low-volatility is a reported risk descriptor, excluded from the alpha composite (a priori)"
ttm_attempted_gate,PASS,ttm_construction_attempted,True,true,TTM roll-forward attempted; graded months=0 (local clean-quarterly coverage is thin)
no_sign_flipping_gate,PASS,factor_signs_flipped_to_chase_ic,False,false,all factor signs are fixed a priori; none flipped to mechanically improve IC
sector_neutralization_caveat_gate,WARNING,sector_map_point_in_time,False,true (ideal),static current-as-of sector map used for neutralization (membership stable; flagged)
no_orders_gate,PASS,orders_enabled,False,false,
no_broker_execution_gate,PASS,broker_execution_enabled,False,false,
no_automation_gate,PASS,automation_enabled,False,false,
no_network_gate,PASS,network_used,False,false,
no_live_data_gate,PASS,live_data_used,False,false,
no_paid_api_gate,PASS,paid_apis_used,False,false,
no_deploy_gate,PASS,deployed,False,false,
no_production_model_gate,PASS,production_model_built,False,false,
no_weight_optimization_gate,PASS,factor_weights_optimized,False,false,
no_regime_selection_gate,PASS,regimes_used_to_select_or_weight,False,false,
no_future_fundamentals_gate,PASS,future_fundamentals_used,False,false,
no_paper_trader_gate,PASS,paper_trader_touched,False,false,
no_gcp_gate,PASS,gcp_touched,False,false,
no_d_drive_write_gate,PASS,d_drive_written,False,false,
preview_only_gate,PASS,preview_only,True,true,
