provider,family,dataset,access_status,entitled_key_present,free_tier,free_trial,payment_required,pit_support,historical_depth,sp500_coverage,update_frequency,integration_difficulty,licensing_risk,alpha_priority,requires_user_opt_in,no_probe_performed,public_url,pricing_if_public
Nasdaq Data Link,A_analyst_estimates_revisions,Zacks Earnings Estimates (ZACKS/EE) + Estimate Revisions (ZACKS/ER),TRIAL_AVAILABLE,True,False,True,True,yes,~20yr,full,daily,medium,medium (redistribution restricted),1,yes,True,https://data.nasdaq.com/databases/ZEE,subscription (institutional; quote-based)
Intrinio,A_analyst_estimates_revisions,Zacks EPS/Sales Estimates + Estimate Trends / Revisions,TRIAL_AVAILABLE,False,False,True,True,yes,~15-20yr,full,daily,medium,medium,1,yes,True,https://intrinio.com/marketplace/data/zacks,from ~$1-3k/yr tiered
FMP,A_analyst_estimates_revisions,Analyst Estimates / Price Target / Ratings (v3/v4),ENTITLED_NOW,True,True,True,False,weak (snapshot; limited history),shallow on lower tiers,partial on free tier,daily,low,low,2,no,True,https://site.financialmodelingprep.com/developer/docs,$0 free / ~$22-70/mo paid
LSEG / I/B/E/S,A_analyst_estimates_revisions,"I/B/E/S Estimates (detail + summary, revisions)",PAID_ONLY,False,False,False,True,yes (gold standard),~40yr,full,intraday,high,high (enterprise contract),3,yes,True,https://www.lseg.com/en/data-analytics/financial-data/company-data/ibes-estimates,enterprise (quote only)
FactSet Estimates,A_analyst_estimates_revisions,Estimates / Consensus / Revisions,PAID_ONLY,False,False,False,True,yes,~20yr,full,intraday,high,high,4,yes,True,https://www.factset.com/,enterprise (quote only)
AlphaVantage,A_analyst_estimates_revisions,EARNINGS (reported vs estimated EPS) / EARNINGS_ESTIMATES,ENTITLED_NOW,True,True,True,False,weak,quarterly EPS ~20yr,full but RATE-CAPPED on free,on earnings,low,low,2,no,True,https://www.alphavantage.co/documentation/,free (25 req/day) / ~$50-250/mo
FINRA,B_short_interest_securities_lending,Daily Short Sale Volume + bi-monthly Short Interest,FREE_PUBLIC,False,True,True,False,yes (dated files),~10yr+,full,daily / bimonthly,low-medium,low (public),3,no,True,https://www.finra.org/finra-data/browse-catalog/short-sale-volume-data,free (public files)
Polygon,B_short_interest_securities_lending,Short Interest / Short Volume (owned key),ENTITLED_NOW,True,False,True,False,yes,~8yr,full,bimonthly,low,low,4,no,True,https://polygon.io/docs,tiered ($29-199/mo)
ORTEX,B_short_interest_securities_lending,"Estimated short interest, utilization, cost-to-borrow",TRIAL_AVAILABLE,False,False,True,True,partial,~5yr,full,daily,medium,medium,4,yes,True,https://www.ortex.com/,retail sub (~$50-100/mo)
S&P Global Securities Finance (ex-IHS Markit),B_short_interest_securities_lending,Securities lending / borrow-fee analytics,PAID_ONLY,False,False,False,True,yes,~15yr,full,daily,high,high,5,yes,True,https://www.spglobal.com/,enterprise (quote only)
ORATS,C_options_implied_vol,Historical IV surfaces / smv summaries / skew,TRIAL_AVAILABLE,False,False,True,True,yes,~15yr,full,daily,high,medium,3,yes,True,https://orats.com/data-api,~$100-600/mo
OptionMetrics IvyDB,C_options_implied_vol,"IvyDB US (vol surface, greeks)",PAID_ONLY,False,False,False,True,yes,~25yr,full,daily,high,high,4,yes,True,https://optionmetrics.com/,enterprise / academic (quote only)
Polygon,C_options_implied_vol,Options aggregates / snapshots (owned key),ENTITLED_NOW,True,False,True,False,partial (needs surface build),~5yr,full,daily,high,low,4,no,True,https://polygon.io/docs/options,options add-on ($29-199/mo)
ThetaData,C_options_implied_vol,Historical options EOD / greeks,TRIAL_AVAILABLE,False,False,True,True,partial,~10yr,full,daily,high,medium,4,yes,True,https://www.thetadata.net/,~$50-160/mo
SEC EDGAR,D_insider_ownership,Form 4 insider transactions + 13F holdings (public filings),FREE_PUBLIC,False,True,True,False,yes (filing date),~20yr,full,daily,medium-high (XML parse + entity map),low,3,no,True,https://www.sec.gov/cgi-bin/browse-edgar,free (public)
Finnhub,D_insider_ownership,Insider transactions + insider sentiment (owned key),ENTITLED_NOW,True,True,True,False,partial (monthly aggregate),~10yr (sentiment),broad (292 names local),monthly,low,low,4,no,True,https://finnhub.io/docs/api,free / ~$50-250/mo
WhaleWisdom,D_insider_ownership,13F institutional ownership changes,TRIAL_AVAILABLE,False,False,True,True,yes (45-day filing lag),~15yr,full,quarterly,medium,medium,5,yes,True,https://whalewisdom.com/,~$50-300/mo API
EODHD,E_news_sentiment,News + financial news sentiment (owned key; already collected),ENTITLED_NOW,True,False,True,False,partial,~5-8yr,broad,daily,medium,low,5,no,True,https://eodhd.com/financial-apis/,~$20-80/mo
RavenPack,E_news_sentiment,News analytics / event sentiment (PIT),PAID_ONLY,False,False,False,True,yes (gold standard),~20yr,full,intraday,high,high,5,yes,True,https://www.ravenpack.com/,enterprise (quote only)
Benzinga,E_news_sentiment,News feed + analyst rating actions,TRIAL_AVAILABLE,False,False,True,True,partial,~8yr,full,intraday,medium,medium,5,yes,True,https://www.benzinga.com/apis/,~$100-500/mo
