family,tier,required_now,needed_when,free_provider,free_coverable,free_enough_for_100_500,point_in_time_safe,buy_evidence_supports,recommended_source,rationale
adjusted OHLCV prices,0,True,now (foundation of every signal/return),existing local cache / yfinance / Alpha Vantage,True,True,True,False,free (existing OHLCV cache),already held for the working universe; free is sufficient and PIT-safe
sector / industry / ticker identity,0,True,"now (grouping, neutralization, sector signals)",existing repo metadata / free reference,True,True,False,False,free (repo metadata),static-ish reference; free suffices though historical membership is not PIT
FRED macro series,0,True,now (rates/vol/macro context features),FRED,True,True,True,False,free (FRED),"FRED is genuinely sufficient: full history, vintages, generous limits - MACRO ONLY (does not serve equity earnings/analyst data)"
earnings actual / estimate / surprise / report date,0,True,now (the core earnings-surprise signal family in progress),Alpha Vantage (free 25 req/day),True,False,True,True,BUY broad earnings/fundamentals provider (test EODHD/FMP Premium),8-P: AV free RATE-LIMITED after 3 req; 25 req/day => ~20 days for 500 tickers. PIT-safe but free THROUGHPUT insufficient for broad coverage
analyst estimates / revisions,1,False,if the earnings-surprise signal survives validation,Finnhub (free 60 req/min; history often premium),True,False,False,True,paid bundle (EODHD/FMP Premium) or Finnhub paid for history,8-N: FMP analyst families PARTIAL/blocked; AV does NOT serve them; free Finnhub history/PIT is limited - buy with the earnings bundle if signal survives
analyst recommendations,1,False,if the earnings-surprise signal survives validation,Finnhub (free recommendation trends),True,True,False,False,free (Finnhub) to start; paid only if PIT history needed,Finnhub free covers current recommendation trends broadly; PIT history is the weak point - acceptable to start free
price target revisions,1,False,if the earnings-surprise signal survives validation,Finnhub (history often premium),True,False,False,True,paid bundle (EODHD/FMP Premium) or Finnhub paid,revision history with reliable as-of dates is typically a paid feature
fundamentals statements,1,False,for value/quality/growth factors once the core signal is validated,"SimFin (free, DELAYED) / EODHD / FMP",True,False,False,True,SimFin free for research drafts; paid bundle for PIT-clean recent data,"SimFin free is broad but DELAYED - usable for older history, NOT a clean real-time PIT source; not an earnings/analyst solution"
ratios / quality / value / growth features,1,False,derived once fundamentals are available,derived from fundamentals (SimFin/EODHD/FMP),True,False,False,False,derive in-repo from whichever fundamentals source is chosen,computed locally; quality depends entirely on the fundamentals source/PIT
news sentiment,2,False,only after a core price/earnings signal works,"Alpha Vantage NEWS_SENTIMENT (free, limited)",True,False,False,False,DEFER,high cost-to-signal ratio; defer until a core signal earns the right to add it
earnings transcripts,3,False,"expensive optional NLP expansion, much later",,False,False,False,False,DEFER,"expensive, heavy to process; no current-roadmap need"
options implied volatility / skew,3,False,"expensive optional vol-signal expansion, later",,False,False,False,False,DEFER,specialist paid data; not on the current roadmap
short interest / borrow,2,False,"optional crowding/squeeze factors, later",limited free (bi-monthly exchange short interest),True,False,False,False,DEFER,"low-frequency, niche; defer"
insider transactions,2,False,"optional factor, later",Finnhub / SEC EDGAR (free),True,True,True,False,DEFER (free when needed),free via EDGAR with real filing dates; valuable but not required now
13F institutional ownership,2,False,"optional ownership factor, later","SEC EDGAR 13F (free, 45-day lag)",True,True,True,False,DEFER (free when needed),free via EDGAR but 45-day reporting lag; not required now
