feature_name,feature_family,formula,required_source_fields,point_in_time_rule,annual_quarterly_rule,missing_value_policy,leakage_risk_note
gross_margin,profitability,gross_profit / revenue,gross_profit;revenue,uses only fields available at feature_asof_date,computed within a single snapshot (no period mixing),"OMITTED in this sample: gross_profit is not in the Phase 3-G normalized fundamentals; documented, not emitted as a column",none; would be same-period ratio if gross_profit were available
operating_margin,profitability,operating_income / revenue,operating_income;revenue,uses only fields available at feature_asof_date,computed within a single snapshot (no period mixing),null if operating_income or revenue missing/zero (banks often lack operating_income),none; same-period as-reported ratio
net_margin,profitability,net_income / revenue,net_income;revenue,uses only fields available at feature_asof_date,computed within a single snapshot (no period mixing),null if net_income or revenue missing/zero,none; same-period as-reported ratio
fcf_margin,profitability,free_cash_flow / revenue,free_cash_flow;revenue,uses only fields available at feature_asof_date,computed within a single snapshot (no period mixing),null if free_cash_flow or revenue missing/zero (fcf derived only where operating_cash_flow and capex both present),none; same-period as-reported ratio
operating_cash_flow_margin,profitability,operating_cash_flow / revenue,operating_cash_flow;revenue,uses only fields available at feature_asof_date,computed within a single snapshot (no period mixing),null if operating_cash_flow or revenue missing/zero,none; same-period as-reported ratio
debt_proxy_total_liabilities_to_assets,balance_sheet,total_liabilities / total_assets,total_liabilities;total_assets,uses only fields available at feature_asof_date,computed within a single snapshot (no period mixing),null if total_liabilities or total_assets missing/zero,none; same-period as-reported ratio
equity_to_assets,balance_sheet,shareholder_equity / total_assets,shareholder_equity;total_assets,uses only fields available at feature_asof_date,computed within a single snapshot (no period mixing),null if shareholder_equity or total_assets missing/zero,none; same-period as-reported ratio
asset_turnover_proxy,balance_sheet,revenue / total_assets,revenue;total_assets,uses only fields available at feature_asof_date,computed within a single snapshot (no period mixing),null if revenue or total_assets missing/zero,none; same-period as-reported ratio
liability_to_equity,balance_sheet,total_liabilities / shareholder_equity,total_liabilities;shareholder_equity,uses only fields available at feature_asof_date,computed within a single snapshot (no period mixing),null if total_liabilities or shareholder_equity missing/zero; negative shareholder_equity is flagged negative_denominator,none; same-period as-reported ratio
revenue_yoy_growth,growth,(revenue[t] - revenue[t-1y]) / abs(revenue[t-1y]),revenue,prior period must have an earlier feature_asof_date; both are trailing (already filed),annual vs prior-year FY; quarterly vs same fiscal quarter prior year; never annual-vs-quarterly,"null if no matching prior-year same-period snapshot, or prior value missing/zero",none; compares only already-reported trailing periods
net_income_yoy_growth,growth,(net_income[t] - net_income[t-1y]) / abs(net_income[t-1y]),net_income,prior period must have an earlier feature_asof_date; both trailing,annual vs prior-year FY; quarterly vs same fiscal quarter prior year; never annual-vs-quarterly,"null if no matching prior-year same-period snapshot, or prior value missing/zero",none; compares only already-reported trailing periods
operating_income_yoy_growth,growth,(operating_income[t] - operating_income[t-1y]) / abs(operating_income[t-1y]),operating_income,prior period must have an earlier feature_asof_date; both trailing,annual vs prior-year FY; quarterly vs same fiscal quarter prior year; never annual-vs-quarterly,"null if no matching prior-year same-period snapshot, prior value missing/zero, or operating_income not reported (banks)",none; compares only already-reported trailing periods
eps_diluted_yoy_growth,growth,(eps_diluted[t] - eps_diluted[t-1y]) / abs(eps_diluted[t-1y]),eps_diluted,prior period must have an earlier feature_asof_date; both trailing,annual vs prior-year FY; quarterly vs same fiscal quarter prior year; never annual-vs-quarterly,"null if no matching prior-year same-period snapshot, or prior value missing/zero",none; compares only already-reported trailing periods
total_assets_yoy_growth,growth,(total_assets[t] - total_assets[t-1y]) / abs(total_assets[t-1y]),total_assets,prior period must have an earlier feature_asof_date; both trailing,annual vs prior-year FY; quarterly vs same fiscal quarter prior year; never annual-vs-quarterly,"null if no matching prior-year same-period snapshot, or prior value missing/zero",none; compares only already-reported trailing periods
